explanation_id,prompt_id,topic,source_type,source_name,model_name,word_count,annotator_2_status,notes,explanation_text
AI_M02_1,M02,Mechanics,AI,ChatGPT,GPT-5.3 / ChatGPT latest,101,pending,blind second-pass assignment,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally. A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more. These two effects balance out. Newton’s second law says acceleration equals force divided by mass. Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects. That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time."
AI_M02_2,M02,Mechanics,AI,Claude,Claude Sonnet 4.6,101,pending,blind second-pass assignment,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally. A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more. These two effects balance out. Newton’s second law says acceleration equals force divided by mass. Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects. That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time."
H_M02_1,M02,Mechanics,human,OpenStax,,92,pending,blind second-pass assignment,"In free fall without air resistance, all objects accelerate downward at the same rate regardless of mass. A heavier object does experience a larger gravitational force, but it also has proportionally greater inertia. Newton’s second law says acceleration equals force divided by mass. Since gravity provides a force equal to mass times g, the mass cancels out, leaving the same acceleration for all objects. This means a hammer and a feather would fall together in a vacuum. The differences we see in everyday life come from air resistance, not from mass itself."
AI_M07_1,M07,Mechanics,AI,ChatGPT,GPT-5.3 / ChatGPT latest,96,pending,blind second-pass assignment,"Friction can help motion because it provides the grip needed to push against a surface. Although friction often opposes sliding, it also prevents unwanted slipping. For example, when you walk, your foot pushes backward on the ground. Static friction from the ground then pushes you forward. Without friction, your foot would slide and you could not move effectively. The same idea applies to car tires, which rely on friction to accelerate, turn, and brake. So friction is not always a force that slows things down. In many situations, it is essential for controlled movement and stability."
AI_M07_2,M07,Mechanics,AI,Claude,Claude Sonnet 4.6,96,pending,blind second-pass assignment,"Friction can help motion because it provides the grip needed to push against a surface. Although friction often opposes sliding, it also prevents unwanted slipping. For example, when you walk, your foot pushes backward on the ground. Static friction from the ground then pushes you forward. Without friction, your foot would slide and you could not move effectively. The same idea applies to car tires, which rely on friction to accelerate, turn, and brake. So friction is not always a force that slows things down. In many situations, it is essential for controlled movement and stability."
H_M07_1,M07,Mechanics,human,OpenStax,,93,pending,blind second-pass assignment,"Friction does not always oppose motion itself; it opposes relative slipping between surfaces. When you walk, your foot pushes backward against the ground. Static friction from the ground then pushes you forward, allowing you to move. Without friction, your feet would slip and you could not walk effectively. The same idea explains how cars accelerate and turn: tires push against the road, and friction provides the forward or sideways force needed. Friction only directly resists motion when surfaces slide past each other. In many everyday situations, friction is what makes controlled motion possible."
AI_P21_1,P21,Mechanics,AI,ChatGPT,openai/gpt-5.3-chat,98,pending,blind second-pass assignment,"Acceleration is the rate of change of velocity, and velocity includes both speed and direction. In circular motion, even if the speed stays constant, the direction of motion is continuously changing, so the velocity is changing. This means there is an acceleration, called centripetal acceleration, which always points toward the center of the circle. The relevant principle is that any change in velocity requires a net force (Newton’s second law). For example, when a car turns at constant speed, you feel pushed sideways because your direction is changing, indicating an inward acceleration toward the center of the turn."
AI_P21_2,P21,Mechanics,AI,Claude,anthropic/claude-sonnet-4.6,102,pending,blind second-pass assignment,"Acceleration is defined as any change in velocity, and velocity is a vector, meaning it has both magnitude and direction. Even if your speed stays constant around a circle, your direction of motion is continuously changing, so your velocity vector is constantly changing. That change in velocity per unit time is acceleration, called centripetal acceleration, always pointing toward the center of the circle. Think of swinging a ball on a string: the string pulls the ball inward, constantly redirecting it without speeding it up. Without that inward pull, the ball would fly off in a straight line, as Newton's first law predicts."
H_P21_01,P21,Mechanics,human,OpenStax College Physics 2e 6.2,,78,pending,blind second-pass assignment,"An object in uniform circular motion can have constant speed but still accelerate because velocity is a vector with both magnitude and direction. In circular motion, the direction of velocity changes continuously, so velocity changes even when speed does not. Acceleration measures that change in velocity, so it is nonzero and points toward the center of the circle. Its magnitude is a_c = v^2/r (or r*omega^2). A tighter turn (smaller r) or higher speed increases this inward acceleration."
AI_E03_1,E03,Electricity & Magnetism,AI,ChatGPT,GPT-5.3 / ChatGPT latest,100,pending,blind second-pass assignment,"Touching a charged object sometimes produces a spark because electric charge can suddenly jump through the air. If there is a large enough voltage difference between your body and the object, electrons move quickly to balance the charges. Normally, air acts as an insulator, but a strong electric field can ionize the air, allowing current to flow briefly. That rapid discharge creates light, heat, and the tiny crackling sound of a spark. Dry air makes this more common because charge builds up more easily. The spark is simply the fast release of stored electrical energy between two differently charged objects."
AI_E03_2,E03,Electricity & Magnetism,AI,Claude,Claude Sonnet 4.6,100,pending,blind second-pass assignment,"Touching a charged object sometimes produces a spark because electric charge can suddenly jump through the air. If there is a large enough voltage difference between your body and the object, electrons move quickly to balance the charges. Normally, air acts as an insulator, but a strong electric field can ionize the air, allowing current to flow briefly. That rapid discharge creates light, heat, and the tiny crackling sound of a spark. Dry air makes this more common because charge builds up more easily. The spark is simply the fast release of stored electrical energy between two differently charged objects."
H_E03_1,E03,Electricity & Magnetism,human,OpenStax,,101,pending,blind second-pass assignment,"A spark happens when excess electric charge builds up and creates a strong electric field across a small gap of air. Air is normally an insulator, but if the electric field becomes strong enough, it can ionize the air molecules. This strips electrons from atoms and makes the air temporarily conductive. The stored charge then suddenly rushes across the gap as a brief electric current, producing a spark, a flash of light, and a snapping sound. Static electricity from walking on carpet often causes this effect. Lightning is the same basic process, but on a much larger scale in the atmosphere."
AI_E06_1,E06,Electricity & Magnetism,AI,ChatGPT,GPT-5.3 / ChatGPT latest,103,pending,blind second-pass assignment,"Current is the same everywhere in a series circuit because there is only one path for charges to follow. Charge cannot pile up in one part of the circuit while disappearing in another. In a steady circuit, the same amount of charge that enters each component must leave it. If current were different at different points, charge would build up somewhere, which does not happen in normal operation. You can think of it like water flowing through a single pipe loop: the same amount of water passes every point each second. In a series circuit, all components share the same charge flow rate."
AI_E06_2,E06,Electricity & Magnetism,AI,Claude,Claude Sonnet 4.6,103,pending,blind second-pass assignment,"Current is the same everywhere in a series circuit because there is only one path for charges to follow. Charge cannot pile up in one part of the circuit while disappearing in another. In a steady circuit, the same amount of charge that enters each component must leave it. If current were different at different points, charge would build up somewhere, which does not happen in normal operation. You can think of it like water flowing through a single pipe loop: the same amount of water passes every point each second. In a series circuit, all components share the same charge flow rate."
H_E06_1,E06,Electricity & Magnetism,human,OpenStax,,96,pending,blind second-pass assignment,"In a series circuit, there is only one path for electric charge to flow. Current is the amount of charge passing a point each second. Because charge is conserved, the same amount of charge must pass every point in the circuit in the same amount of time. If current were different in different parts of the circuit, charge would have to build up somewhere, which does not happen in a steady circuit. This is why the current is the same through every component in a series circuit, even though the voltage may change across different parts."
AI_P25_1,P25,Electricity & Magnetism,AI,ChatGPT,openai/gpt-5.3-chat,99,pending,blind second-pass assignment,"When magnetic flux through a loop changes, an induced current appears whose direction opposes that change—this is Lenz’s law. The deeper reason is conservation of energy: if the induced current reinforced the change, the system would amplify itself without any external work, creating energy from nothing. Instead, the induced current produces its own magnetic field that resists the change, so an external agent must do work to alter the flux. For example, pushing a magnet toward a conducting loop induces a current whose magnetic field repels the magnet, making it feel harder to push—your mechanical work becomes electrical energy."
AI_P25_2,P25,Electricity & Magnetism,AI,Claude,anthropic/claude-sonnet-4.6,108,pending,blind second-pass assignment,"When a magnetic flux through a conducting loop changes, the loop responds by driving a current that creates its own magnetic field to resist that change — this is Faraday's law combined with Lenz's law. The deeper reason is energy conservation: if the induced current reinforced the change instead of opposing it, the growing magnetic field would induce a stronger current, which would grow the field further, generating energy from nothing, violating conservation of energy. Think of it like mechanical inertia — just as a stationary object resists being pushed, a stable magnetic flux resists being disturbed. Nature always pushes back against the disturbance, never amplifying it freely."
H_P25_01,P25,Electricity & Magnetism,human,OpenStax College Physics 23.2,,73,pending,blind second-pass assignment,"Faraday's law says a changing magnetic flux induces an emf. The minus sign in Faraday's law expresses Lenz's law: the induced current flows in a direction that opposes the change in flux that created it. This opposition is a consistency condition with energy conservation. If induced current reinforced the original change, flux would grow without extra work. Instead, induced effects resist the change, so external work is required to keep changing the field."
AI_T03_1,T03,Energy / Work / Thermo,AI,ChatGPT,GPT-5.3 / ChatGPT latest,96,pending,blind second-pass assignment,"Increasing temperature raises pressure in a sealed gas container because temperature measures the average kinetic energy of gas particles. When the gas is heated, the particles move faster. In a sealed container, the volume stays constant, so the particles cannot spread out more. Instead, they collide with the container walls more often and with greater force. Pressure is caused by these collisions. More frequent and stronger collisions mean higher pressure. This is why aerosol cans warn against heat: warming the gas inside raises pressure, which can become dangerous if the container cannot withstand the increased force."
AI_T03_2,T03,Energy / Work / Thermo,AI,Claude,Claude Sonnet 4.6,96,pending,blind second-pass assignment,"Increasing temperature raises pressure in a sealed gas container because temperature measures the average kinetic energy of gas particles. When the gas is heated, the particles move faster. In a sealed container, the volume stays constant, so the particles cannot spread out more. Instead, they collide with the container walls more often and with greater force. Pressure is caused by these collisions. More frequent and stronger collisions mean higher pressure. This is why aerosol cans warn against heat: warming the gas inside raises pressure, which can become dangerous if the container cannot withstand the increased force."
H_T03_1,T03,Energy / Work / Thermo,human,OpenStax,,93,pending,blind second-pass assignment,"Temperature is related to the average kinetic energy of gas molecules. When a sealed container is heated, the gas molecules move faster on average. Faster molecules hit the walls more often and with greater force. Since the volume of the container stays fixed, the gas cannot expand to relieve the extra motion. As a result, the pressure rises. This relationship is part of the ideal gas law and explains everyday effects like rising tire pressure after driving or the danger of heating sealed aerosol cans. More energetic molecular collisions directly create higher pressure."
AI_P29_1,P29,Energy / Work / Thermo,AI,ChatGPT,openai/gpt-5.3-chat,100,pending,blind second-pass assignment,"Wave speed, frequency, and wavelength are linked by the equation v = fλ, where v is wave speed, f is frequency, and λ is wavelength. In a given medium, the wave speed is usually fixed by the medium’s properties, so frequency and wavelength must adjust to keep their product constant. If the frequency increases, the wavelength decreases proportionally. For example, if you shake a rope faster, the ripples become more closely spaced rather than moving faster along the rope. The key principle is that the medium sets the speed, so changes in frequency are balanced by opposite changes in wavelength."
AI_P29_2,P29,Energy / Work / Thermo,AI,Claude,anthropic/claude-sonnet-4.6,101,pending,blind second-pass assignment,"All waves obey the relationship v = fλ, where v is wave speed, f is frequency, and λ is wavelength. In a given medium, the wave speed is fixed by the physical properties of that medium — for example, sound travels at roughly 343 m/s in air regardless of the source. This means if you increase the frequency, the wavelength must decrease proportionally to keep the speed constant. Think of a jump rope being shaken faster: the waves come more frequently, but each individual wave crest is shorter, while the speed at which disturbances travel along the rope stays the same."
H_P29_01,P29,Energy / Work / Thermo,human,OpenStax Physics 14.1,,67,pending,blind second-pass assignment,"Wave speed, frequency, and wavelength satisfy v = f lambda. In one medium, speed is set mainly by medium properties, so if frequency increases then wavelength must decrease to keep v the same. Frequency is set by the source, while wavelength adjusts in response to speed in that medium. This is why high-frequency sound has shorter wavelength than low-frequency sound when both travel through the same air."
