explanation_id,prompt_id,topic,source_type,source_name,source_url,model_name,generation_prompt,explanation_text,word_count,annotation_status,second_annotation_status,physics_flag,notes,batch
H_P24_01,P24,Energy / Work / Thermo,human,OpenStax College Physics 2e 13.3,https://openstax.org/books/college-physics-2e/pages/13-3-the-ideal-gas-law,,,"For a fixed amount of gas in a rigid sealed container, volume and particle number are constant. From the ideal gas law, P V = N k T, pressure is proportional to absolute temperature when V and N are fixed. So when temperature rises, pressure rises. Microscopically, hotter gas particles move faster and collide with container walls more frequently and with greater momentum change, which increases pressure.",67,done,,,Paraphrased from cited section; beginner-facing,expansion_30
H_P25_01,P25,Electricity & Magnetism,human,OpenStax College Physics 23.2,https://openstax.org/books/college-physics/pages/23-2-faradays-law-of-induction-lenzs-law,,,"Faraday's law says a changing magnetic flux induces an emf. The minus sign in Faraday's law expresses Lenz's law: the induced current flows in a direction that opposes the change in flux that created it. This opposition is a consistency condition with energy conservation. If induced current reinforced the original change, flux would grow without extra work. Instead, induced effects resist the change, so external work is required to keep changing the field.",73,done,done,,Paraphrased from cited section; beginner-facing,expansion_30
H_P26_01,P26,Mechanics,human,OpenStax Physics 8.2,https://openstax.org/books/physics/pages/8-2-conservation-of-momentum,,,"Momentum is conserved for a system when net external impulse is negligible. During a collision, objects exert internal forces on each other that are equal and opposite, so these internal effects cancel at the system level. As a result, total momentum before and after the collision is the same, even though individual object momenta can change a lot. Kinetic energy may or may not be conserved depending on whether the collision is elastic.",73,done,,,Paraphrased from cited section; beginner-facing,expansion_30
H_P27_01,P27,Mechanics,human,OpenStax Physics 4.3,https://openstax.org/books/physics/pages/4-3-newtons-second-law-of-motion,,,"Newton's second law states that net force equals mass times acceleration: F_net = m a. This means acceleration points in the direction of net force, grows when net force grows, and shrinks when mass grows for the same force. So a larger net force causes a larger acceleration, while a more massive object requires more force to get the same acceleration. The law quantitatively links cause (net force) to motion change (acceleration).",72,done,,,"""Paraphrased from cited section; beginner-facing""",expansion_30
H_P28_01,P28,Energy / Work / Thermo,human,OpenStax Physics 9.2,https://openstax.org/books/physics/pages/9-2-mechanical-energy-and-conservation-of-energy,,,"Mechanical energy is the sum of kinetic and potential energy. In an ideal system with negligible nonconservative work (like friction), total mechanical energy stays constant while energy shifts between forms. For example, as an object moves downhill, gravitational potential energy decreases and kinetic energy increases by the same amount. Moving uphill reverses the transfer. So K and U can change significantly while K + U remains constant.",67,done,,,Paraphrased from cited section; beginner-facing,expansion_30
H_P29_01,P29,Energy / Work / Thermo,human,OpenStax Physics 14.1,https://openstax.org/books/physics/pages/14-1-speed-of-sound-frequency-and-wavelength,,,"Wave speed, frequency, and wavelength satisfy v = f lambda. In one medium, speed is set mainly by medium properties, so if frequency increases then wavelength must decrease to keep v the same. Frequency is set by the source, while wavelength adjusts in response to speed in that medium. This is why high-frequency sound has shorter wavelength than low-frequency sound when both travel through the same air.",67,done,done,,Paraphrased from cited section; beginner-facing,expansion_30
H_P30_01,P30,Electricity & Magnetism,human,OpenStax College Physics 2e 22.5,https://openstax.org/books/college-physics-2e/pages/22-5-force-on-a-moving-charge-in-a-magnetic-field-examples-and-applications,,,"A magnetic field exerts force on a moving charge with magnitude F = q v B sin(theta), perpendicular to both velocity and magnetic field. Because the magnetic force is perpendicular to motion, it changes direction of velocity more than speed. With v perpendicular to B in a uniform field, the path is circular; with a component parallel to B, the path is helical. So magnetic fields steer charged particles and can confine them into curved trajectories.",76,done,,,Paraphrased from cited section; beginner-facing,expansion_30
AI_P21_1,P21,Mechanics,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why does an object moving at constant speed in a circle still have acceleration?","Acceleration is the rate of change of velocity, and velocity includes both speed and direction. In circular motion, even if the speed stays constant, the direction of motion is continuously changing, so the velocity is changing. This means there is an acceleration, called centripetal acceleration, which always points toward the center of the circle. The relevant principle is that any change in velocity requires a net force (Newton’s second law). For example, when a car turns at constant speed, you feel pushed sideways because your direction is changing, indicating an inward acceleration toward the center of the turn.",98,done,done,,auto-generated via OpenRouter,expansion_30
AI_P21_2,P21,Mechanics,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why does an object moving at constant speed in a circle still have acceleration?","Acceleration is defined as any change in velocity, and velocity is a vector, meaning it has both magnitude and direction. Even if your speed stays constant around a circle, your direction of motion is continuously changing, so your velocity vector is constantly changing. That change in velocity per unit time is acceleration, called centripetal acceleration, always pointing toward the center of the circle. Think of swinging a ball on a string: the string pulls the ball inward, constantly redirecting it without speeding it up. Without that inward pull, the ball would fly off in a straight line, as Newton's first law predicts.",102,done,done,,auto-generated via OpenRouter,expansion_30
AI_P22_1,P22,Electricity & Magnetism,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: At fixed voltage, why does increasing resistance reduce current in a simple circuit?","At fixed voltage, the relationship between current and resistance is given by Ohm’s law: I = V / R. Voltage is the “push” driving charges through a circuit, while resistance measures how strongly the material opposes that motion. If the voltage stays the same and resistance increases, the denominator in the equation grows, so the current must decrease. Microscopically, higher resistance means charge carriers (like electrons) collide more often with atoms, losing momentum and moving more slowly on average. An intuitive analogy is water flowing through a pipe: if you narrow or roughen the pipe (increase resistance), less water flows for the same pressure.",104,done,,,auto-generated via OpenRouter,expansion_30
AI_P22_2,P22,Electricity & Magnetism,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: At fixed voltage, why does increasing resistance reduce current in a simple circuit?","Voltage is the electrical ""pressure"" that pushes charges through a circuit, while resistance is how much the circuit opposes that flow. Ohm's Law states that current equals voltage divided by resistance (I = V/R). Think of water flowing through a pipe: voltage is the water pressure, and resistance is how narrow the pipe is. If you squeeze the pipe tighter while keeping the pressure the same, less water flows through. Similarly, when resistance increases at fixed voltage, there is greater opposition to charge movement, so fewer charges pass any point per second — meaning current decreases proportionally.",97,done,,,auto-generated via OpenRouter,expansion_30
AI_P23_1,P23,Energy / Work / Thermo,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why is work done by a force zero when the force is perpendicular to displacement?","Work is defined as the dot product of force and displacement, \( W = \vec{F} \cdot \vec{d} = F d \cos\theta \). The key is the cosine term: it picks out the component of the force along the direction of motion. If the force is perpendicular to the displacement, then \(\theta = 90^\circ\) and \(\cos 90^\circ = 0\), so no work is done. Physically, this means the force changes the object’s direction but not its speed or energy. A classic example is uniform circular motion: the centripetal force always points inward, perpendicular to the velocity, so it continuously redirects the motion without adding or removing energy.",106,done,,,auto-generated via OpenRouter,expansion_30
AI_P23_2,P23,Energy / Work / Thermo,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why is work done by a force zero when the force is perpendicular to displacement?","Work is defined as the transfer of energy from a force into the motion of an object along a specific direction. Mathematically, work equals force times displacement times the cosine of the angle between them. When a force is perpendicular to displacement, that angle is 90°, and cosine of 90° is zero, so no work is done. Physically, this means the force has no component pointing along the direction of motion, so it cannot speed up or slow down the object — it cannot transfer energy into or out of that motion. A classic example is a satellite orbiting Earth: gravity pulls inward while the satellite moves tangentially, so gravity does zero work and the satellite's speed remains constant.",119,done,,,auto-generated via OpenRouter,expansion_30
AI_P24_1,P24,Energy / Work / Thermo,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: In a sealed rigid container, why does pressure increase when temperature increases?","In a sealed rigid container, the volume and number of particles stay constant, so increasing temperature means increasing the average kinetic energy of the gas molecules (from kinetic theory). Faster molecules collide with the container walls more frequently and with greater force, which raises the pressure. This is captured by the ideal gas law \(P \propto T\) when volume and particle number are fixed. Intuitively, imagine ping-pong balls bouncing inside a box: if they suddenly move faster, they hit the walls harder and more often, so the force on the walls—and thus the pressure—increases.",94,done,,,auto-generated via OpenRouter,expansion_30
AI_P24_2,P24,Energy / Work / Thermo,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: In a sealed rigid container, why does pressure increase when temperature increases?","When you heat a gas, you add energy to its molecules, causing them to move faster. Pressure is created by molecules constantly colliding with the container walls — each collision delivers a tiny push. When molecules move faster, two things happen: they hit the walls more frequently, and each individual collision transfers more force. Since the container is rigid and sealed, the volume cannot expand and the number of molecules stays fixed, so all that extra molecular energy goes directly into harder and more frequent wall collisions. Think of it like a crowd in a room getting increasingly agitated — the more energetically people bounce around, the harder they push against the walls. This relationship is captured by Gay-Lussac's Law: at constant volume, pressure is directly proportional to absolute temperature.",130,done,,,auto-generated via OpenRouter,expansion_30
AI_P25_1,P25,Electricity & Magnetism,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why does the induced current oppose the change in magnetic flux in electromagnetic induction?","When magnetic flux through a loop changes, an induced current appears whose direction opposes that change—this is Lenz’s law. The deeper reason is conservation of energy: if the induced current reinforced the change, the system would amplify itself without any external work, creating energy from nothing. Instead, the induced current produces its own magnetic field that resists the change, so an external agent must do work to alter the flux. For example, pushing a magnet toward a conducting loop induces a current whose magnetic field repels the magnet, making it feel harder to push—your mechanical work becomes electrical energy.",99,done,done,,auto-generated via OpenRouter,expansion_30
AI_P25_2,P25,Electricity & Magnetism,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why does the induced current oppose the change in magnetic flux in electromagnetic induction?","When a magnetic flux through a conducting loop changes, the loop responds by driving a current that creates its own magnetic field to resist that change — this is Faraday's law combined with Lenz's law. The deeper reason is energy conservation: if the induced current reinforced the change instead of opposing it, the growing magnetic field would induce a stronger current, which would grow the field further, generating energy from nothing, violating conservation of energy. Think of it like mechanical inertia — just as a stationary object resists being pushed, a stable magnetic flux resists being disturbed. Nature always pushes back against the disturbance, never amplifying it freely.",108,done,done,,auto-generated via OpenRouter,expansion_30
AI_P26_1,P26,Mechanics,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why is total momentum conserved in collisions when external forces are negligible?","Total momentum is conserved in collisions because of Newton’s third law and the absence of significant external forces. During a collision, the forces the objects exert on each other are equal in magnitude and opposite in direction, so the impulse (force × time) each object experiences is equal and opposite. This means any momentum lost by one object is exactly gained by the other, leaving the total unchanged. If no external forces act on the system, there’s nothing to add or remove momentum overall. A simple example is two ice skaters pushing off each other: they move apart, but their combined momentum remains zero if they started at rest.",109,done,,,auto-generated via OpenRouter,expansion_30
AI_P26_2,P26,Mechanics,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: Why is total momentum conserved in collisions when external forces are negligible?","Newton's third law tells us that whenever two objects interact, they exert equal and opposite forces on each other. During a collision, object A pushes on object B with exactly the force that B pushes back on A, just in the opposite direction. Since momentum change equals force multiplied by time, these paired forces act for the same duration, so whatever momentum one object gains, the other loses by precisely that amount. The total momentum of the system therefore stays constant. Think of two skaters pushing off each other on frictionless ice: one glides left, the other right, but their combined momentum remains zero throughout.",105,done,,,auto-generated via OpenRouter,expansion_30
AI_P27_1,P27,Mechanics,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How does Newton's second law explain the relationship between net force, mass, and acceleration?","Newton’s second law states that the net force acting on an object equals its mass times its acceleration (F = ma). This means acceleration depends on both how strong the overall (net) force is and how much mass the object has. For a given mass, a larger net force produces a larger acceleration; for a given force, a larger mass produces a smaller acceleration. The key idea is that forces don’t just cause motion—they change motion. For example, pushing an empty shopping cart makes it speed up quickly, but the same push on a full cart leads to a much smaller acceleration because its mass is greater.",107,done,,,auto-generated via OpenRouter,expansion_30
AI_P27_2,P27,Mechanics,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How does Newton's second law explain the relationship between net force, mass, and acceleration?","Newton's second law states that the net force acting on an object equals its mass multiplied by its acceleration: F = ma. This means acceleration is directly proportional to net force — push harder, and the object speeds up faster. It also means acceleration is inversely proportional to mass — a heavier object is harder to accelerate with the same force. Think of pushing a shopping cart: an empty cart accelerates easily with a small push, but a full cart requires much more force to achieve the same acceleration. The key insight is that force doesn't determine speed directly; it determines how quickly velocity changes.",105,done,,,auto-generated via OpenRouter,expansion_30
AI_P28_1,P28,Energy / Work / Thermo,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How can kinetic and potential energy change while total mechanical energy remains constant?","In a system where only conservative forces (like gravity or a spring) do work, energy can shift between kinetic energy (motion) and potential energy (stored due to position or configuration) without changing the total mechanical energy. The key principle is conservation of mechanical energy: energy isn’t lost, just transformed. For example, when you toss a ball upward, it slows down as kinetic energy decreases, but its gravitational potential energy increases by exactly the same amount. At the top, kinetic energy is minimal and potential is maximal; on the way down, the process reverses. Ignoring friction or air resistance, the sum of the two energies stays constant.",106,done,,,auto-generated via OpenRouter,expansion_30
AI_P28_2,P28,Energy / Work / Thermo,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How can kinetic and potential energy change while total mechanical energy remains constant?","In an isolated system with no friction or other non-conservative forces doing work, the total mechanical energy — the sum of kinetic and potential energy — stays fixed because energy simply converts between the two forms rather than disappearing. As an object gains speed, its kinetic energy rises while its potential energy drops by exactly the same amount, and vice versa. Think of a swinging pendulum: at the bottom of its arc it moves fastest and has maximum kinetic energy, while at the top of each swing it momentarily stops and holds maximum potential energy. The total never changes — energy just shifts form continuously.",105,done,,,auto-generated via OpenRouter,expansion_30
AI_P29_1,P29,Energy / Work / Thermo,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How are wave speed, frequency, and wavelength related, and what changes when frequency increases in one medium?","Wave speed, frequency, and wavelength are linked by the equation v = fλ, where v is wave speed, f is frequency, and λ is wavelength. In a given medium, the wave speed is usually fixed by the medium’s properties, so frequency and wavelength must adjust to keep their product constant. If the frequency increases, the wavelength decreases proportionally. For example, if you shake a rope faster, the ripples become more closely spaced rather than moving faster along the rope. The key principle is that the medium sets the speed, so changes in frequency are balanced by opposite changes in wavelength.",100,done,done,,auto-generated via OpenRouter,expansion_30
AI_P29_2,P29,Energy / Work / Thermo,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How are wave speed, frequency, and wavelength related, and what changes when frequency increases in one medium?","All waves obey the relationship v = fλ, where v is wave speed, f is frequency, and λ is wavelength. In a given medium, the wave speed is fixed by the physical properties of that medium — for example, sound travels at roughly 343 m/s in air regardless of the source. This means if you increase the frequency, the wavelength must decrease proportionally to keep the speed constant. Think of a jump rope being shaken faster: the waves come more frequently, but each individual wave crest is shorter, while the speed at which disturbances travel along the rope stays the same.",101,done,done,,auto-generated via OpenRouter,expansion_30
AI_P30_1,P30,Electricity & Magnetism,AI,ChatGPT,,openai/gpt-5.3-chat,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How does a magnetic field change the motion of a moving charged particle?","A magnetic field changes a moving charged particle’s motion through the Lorentz force, which acts perpendicular to both the particle’s velocity and the magnetic field. Because the force is always sideways rather than along the direction of motion, it does not speed the particle up or slow it down; instead, it bends its path. If the velocity is fully perpendicular to the field, the particle moves in a circle; if there is also motion along the field, the path becomes a helix. A helpful analogy is a ball tied to a string: the tension (like the magnetic force) continuously pulls sideways, curving the motion without changing its speed.",108,done,,,auto-generated via OpenRouter,expansion_30
AI_P30_2,P30,Electricity & Magnetism,AI,Claude,,anthropic/claude-sonnet-4.6,"Explain this physics concept to a first-year college student in about 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and one intuitive bridge/example if helpful. Return only one plain paragraph with no title and no bullet points.

Question: How does a magnetic field change the motion of a moving charged particle?","A magnetic field exerts a force on a moving charged particle, but this force always points perpendicular to both the particle's velocity and the magnetic field direction — described by the equation **F = qv × B**. Because the force is always sideways to the motion, it never speeds the particle up or slows it down; it only continuously redirects it. This causes the particle to curve into a circular or helical path rather than a straight one. Think of it like a ball on a string: the string pulls sideways, keeping the ball spinning in a circle without changing its speed. No work is done.",106,done,,,auto-generated via OpenRouter,expansion_30
